Project,Owner,Manager,Category,Key,Priority,Status,Reporter,Assignee,Components,SummaryTopWords,DescriptionTopWords,CommentsTopWords,CreationDate,ResolutionDate,creationDate_number,resolutionDate_number,nResolutionDays,count,AffectsVersions,FixVersions,NoComments,FirstCommentDate,LastCommentDate,NoWatchers,NoAttachments,FirstAttachmentDate,LastAttachmentDate,NoAttachedPatches,FirstAttachedPatchDate,LastAttachedPatchDate,InwardIssueLinks,OutwardIssueLinks
YARN,ASF,Apache Hadoop Committee,big-data,8171,Major,Resolved,sunilg,sunilg,ui-v2,node:1 link:1 attempt:1 page:1 redirect:1 new:1 tab:1,avoid:1 node:1 link:1 old:1,color:74 green:25 yarn:9 patch:8 apache:5 blue:4 brown:4 trunk:4 tests:4 black:4 thanks:3 client:3 maven:3 u:2 review:2 subsystem:2 docker:2 author:2 0s:2 compile:2 branch:2 errors:2 building:2 testing:2 artifacts:2 issues:2 ce:2 https:2 linux:2 build:2 personality:2 project:2 console:2 cud:1 overall:1 vote:1 comment:1 mode:1 activated:1 contain:1 tags:1 passed:1 8s:1 21s:1 generate:1 license:1 warnings:1 16s:1 report:1 notes:1 server:1 image:1 issue:1 url:1 secure:1 attachment:1 optional:1 generic:1 jan:1 utc:1 gnu:1 tool:1 provided:1 git:1 revision:1 version:1 max:1 process:1 thread:1 count:1 vs:1 modules:1 c:1 output:1 builds:1 job:1 powered:1 snapshot:1 http:1 message:1 automatically:1 generated:1 committed:1 commit:1,2018-04-17T17:04:47.000+0000,2018-04-18T08:16:40.000+0000,180417,180418,1,1,,3.1.1 3.2.0,4,2018-04-17T17:56:28.340+0000,2018-04-18T09:04:59.416+0000,0,1,2018-04-17T17:55:59.807+0000,2018-04-17T17:55:59.807+0000,1,2018-04-17T17:55:59.807+0000,2018-04-17T17:55:59.807+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,8179,Major,Resolved,kyungwan nam,kyungwan nam,,preemption:1 happen:1 due:1 used:1,capacity:4 resources:3 allocated:3 max:2 submitted:2 preempted:2 cluster:1 utilized:1 met:1 problem:1 preemption:1 happen:1 caused:1 pending:1 asking:1 memory:1 need:1 due:1 default:1 guarantee:1 even:1 though:1 applying:1,color:204 green:72 yarn:44 patch:29 server:20 apache:17 trunk:13 passed:12 red:10 https:9 test:8 preemption:8 tests:8 blue:8 thanks:7 build:7 capacity:6 builds:6 job:6 please:5 new:5 compile:5 project:5 java:5 resources:5 quote:4 subsystem:4 0s:4 branch:4 console:4 brown:4 orange:4 unit:4 black:4 commit:4 case:3 monitor:3 issue:3 cause:3 unnecessary:3 comment:3 docker:3 issues:3 generated:3 client:3 scheduler:3 maven:3 sorry:3 extensible:3 u:2 fix:2 refer:2 classes:2 add:2 review:2 queue:2 one:2 want:2 make:2 sure:2 problem:2 modified:2 work:2 normalize:2 attached:2 x:2 overall:2 vote:2 mode:2 activated:2 see:2 report:2 notes:2 url:2 secure:2 attachment:2 output:2 powered:2 snapshot:2 http:2 message:2 automatically:2 author:2 errors:2 building:2 testing:2 artifacts:2 30s:2 failed:2 ce:2 linux:2 personality:2 artifact:2 tomorrow:2 change:2 call:2 none:2 accommodate:2 edit:2 cud:1 write:1 verify:1 scenario:1 raising:1 providing:1 far:1 know:1 natural:1 termination:1 factor:1 inter:1 concern:1 past:1 code:1 area:1 continue:1 evaluate:1 convinced:1 comments:1 including:1 shortly:1 ever:1 think:1 appropriate:1 grater:1 5s:1 apply:1 required:1 wrong:1 help:1 based:1 date:1 contain:1 tags:1 appears:1 include:1 files:1 50s:1 24s:1 21s:1 unchanged:1 fixed:1 total:1 16s:1 generate:1 license:1 warnings:1 reason:1 image:1 optional:1 generic:1 jan:1 utc:1 gnu:1 tool:1 provided:1 git:1 revision:1 version:1 default:1 results:1 max:1 process:1 thread:1 count:1 vs:1 modules:1 c:1 objection:1 really:1 long:1 delay:1 also:1 request:1 even:1 though:1 previously:1 approved:1 latest:1 forget:1 previous:1 looks:1 like:1 resource:1 already:1 covers:1 today:1 success:1 integrated:1 happen:1 due:1 rev:1 main:1 committed:1 good:1,2018-04-19T07:16:32.000+0000,2018-05-21T20:46:29.000+0000,180419,180521,32,1,,3.0.3 3.1.1 3.2.0,15,2018-04-19T07:35:03.478+0000,2018-05-21T20:47:18.588+0000,0,3,2018-04-19T07:23:49.973+0000,2018-04-30T09:41:16.282+0000,3,2018-04-19T07:23:49.973+0000,2018-04-30T09:41:16.282+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,8182,Critical,Resolved,ssathish@hortonworks.com,sunilg,,nodes:2 proxy:1 clicking:1 gives:1 error:1,nodes:4 click:3 tab:2 available:1 gives:1 error:1,color:74 green:25 yarn:13 patch:8 trunk:6 apache:6 blue:4 brown:4 tests:4 black:4 client:3 https:3 build:3 maven:3 project:3 commit:3 nodes:3 review:2 subsystem:2 docker:2 author:2 0s:2 compile:2 branch:2 errors:2 building:2 testing:2 artifacts:2 issues:2 ce:2 linux:2 personality:2 console:2 builds:2 job:2 thanks:2 cc:1 overall:1 vote:1 comment:1 mode:1 activated:1 contain:1 tags:1 passed:1 24s:1 16s:1 19s:1 generate:1 license:1 warnings:1 report:1 notes:1 server:1 image:1 issue:1 url:1 secure:1 attachment:1 optional:1 generic:1 mon:1 utc:1 gnu:1 tool:1 provided:1 git:1 revision:1 version:1 max:1 process:1 thread:1 count:1 vs:1 modules:1 c:1 u:1 output:1 powered:1 snapshot:1 http:1 message:1 automatically:1 generated:1 tested:1 cluster:1 committing:1 shortly:1 failure:1 integrated:1 see:1 proxy:1 clicking:1 gives:1 rev:1 edit:1 main:1 components:1 js:1 committed:1,2018-04-19T18:27:00.000+0000,2018-04-20T14:15:22.000+0000,180419,180420,1,1,,3.1.1 3.2.0,6,2018-04-19T18:32:38.073+0000,2018-04-20T14:21:33.737+0000,0,1,2018-04-19T18:32:12.531+0000,2018-04-19T18:32:12.531+0000,1,2018-04-19T18:32:12.531+0000,2018-04-19T18:32:12.531+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,8183,Critical,Resolved,ssathish@hortonworks.com,suma.shivaprasad,yarn,fix:1 inside:1,following:2 gets:1 stuck:1 killing:1 application:1 repeatedly:1 printing:1 message:1 shows:1 exception:1,color:372 green:144 yarn:55 patch:41 passed:26 server:24 trunk:21 apache:18 tests:12 red:10 compile:10 https:10 build:10 blue:8 brown:8 orange:8 project:8 black:8 builds:8 job:8 0s:6 new:6 client:6 maven:6 java:6 thanks:5 fix:4 subsystem:4 docker:4 author:4 please:4 branch:4 errors:4 building:4 testing:4 artifacts:4 generated:4 issues:4 unit:4 ce:4 linux:4 personality:4 console:4 commit:4 resource:3 overall:3 fixed:3 issue:3 get:2 x:2 vote:2 comment:2 22s:2 mode:2 activated:2 contain:2 tags:2 appear:2 include:2 modified:2 justify:2 needed:2 also:2 list:2 manual:2 steps:2 performed:2 verify:2 unchanged:2 total:2 5s:2 generate:2 license:2 warnings:2 report:2 notes:2 image:2 url:2 secure:2 attachment:2 optional:2 generic:2 feb:2 utc:2 gnu:2 tool:2 provided:2 git:2 revision:2 version:2 default:2 artifact:2 test:2 results:2 max:2 process:2 thread:2 count:2 vs:2 modules:2 c:2 u:2 output:2 powered:2 snapshot:2 http:2 message:2 automatically:2 review:2 20s:2 integrated:2 see:2 inside:2 rev:2 edit:2 main:2 attempt:2 occuring:1 due:1 concurrent:1 update:1 added:1 track:1 usage:1 profile:1 attaching:1 changing:1 maps:1 13s:1 26s:1 16s:1 25s:1 24s:1 looks:1 good:1 related:1 one:1 existing:1 logic:1 need:1 updated:1 instead:1 return:1 clone:1 consumer:1 copy:1 attached:1 comments:1 pending:1 18s:1 50s:1 21s:1 17s:1 28s:1 1s:1 27s:1 failure:1 working:1 reporting:1 pushed:1 success:1,2018-04-19T19:35:58.000+0000,2018-04-25T00:53:52.000+0000,180419,180425,6,1,3.1.0 3.0.0,3.0.3 3.1.1 3.2.0,10,2018-04-19T19:45:47.803+0000,2018-04-26T21:58:00.360+0000,0,2,2018-04-19T19:46:57.840+0000,2018-04-24T22:04:28.238+0000,2,2018-04-19T19:46:57.840+0000,2018-04-24T22:04:28.238+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,8184,Major,Resolved,yufeigu,yufeigu,nodemanager,many:1 metrics:1 uses:1,disk:3 use:2 downloads:1 files:1 configure:1 yarn:1 name:1 case:1 create:1 metric:1 item:1 directory:1 localized:1 many:1 metrics:1 let:1 basic:1,color:558 green:184 yarn:114 patch:64 red:55 server:51 apache:35 passed:32 trunk:27 https:22 build:22 tests:21 compile:18 builds:18 job:18 blue:12 brown:12 unit:12 black:12 0s:11 failed:11 project:11 java:11 artifact:10 client:9 maven:9 new:7 subsystem:6 docker:6 author:6 please:6 errors:6 building:6 testing:6 artifacts:6 issues:6 ce:6 linux:6 personality:6 console:6 performed:4 orange:4 generated:4 issue:4 test:4 22s:4 commit:4 edit:4 main:4 x:3 overall:3 vote:3 comment:3 mode:3 activated:3 contain:3 tags:3 appear:3 include:3 modified:3 justify:3 needed:3 also:3 list:3 manual:3 steps:3 verify:3 branch:3 16s:3 14s:3 generate:3 license:3 warnings:3 report:3 notes:3 image:3 url:3 secure:3 attachment:3 optional:3 generic:3 jan:3 utc:3 gnu:3 tool:3 provided:3 git:3 revision:3 version:3 default:3 results:3 max:3 process:3 thread:3 count:3 vs:3 modules:3 c:3 u:3 output:3 powered:3 snapshot:3 http:3 message:3 automatically:3 6s:3 see:3 24s:2 17s:2 21s:2 disk:2 level:2 15s:2 13s:2 thanks:2 unrelated:2 integrated:2 many:2 metrics:2 ozone:2 acceptance:2 27s:1 23s:1 unchanged:1 fixed:1 total:1 18s:1 12s:1 25s:1 30s:1 agree:1 expensive:1 checking:1 rather:1 individual:1 directory:1 kicked:1 another:1 install:1 transient:1 4s:1 29s:1 26s:1 40s:1 1s:1 reason:1 scheduler:1 failures:1 reproduce:1 locally:1 objections:1 committed:1 review:1 success:1 rev:1 failure:1,2018-04-19T20:45:55.000+0000,2018-06-22T21:09:25.000+0000,180419,180622,63,1,,3.2.0,9,2018-04-19T22:34:58.041+0000,2018-06-24T08:05:03.708+0000,0,2,2018-04-19T21:16:25.408+0000,2018-04-19T23:44:37.238+0000,2,2018-04-19T21:16:25.408+0000,2018-04-19T23:44:37.238+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,8187,Critical,Resolved,ssathish@hortonworks.com,Zian Chen,ui-v2,individual:1 node:1 page:1 contain:1 breadcrumb:1 trail:1,click:3 node:3 nodes:2 home:2 like:2 list:2 tab:1 page:1 individual:1 http:1 address:1 available:1 id:1 comes:1 back:1 tabs:1 applications:1 containers:1,color:148 green:50 yarn:33 patch:18 apache:11 blue:8 brown:8 trunk:8 tests:8 black:8 project:7 client:6 maven:6 0s:5 https:5 build:5 templates:5 node:5 subsystem:4 docker:4 author:4 compile:4 errors:4 building:4 testing:4 artifacts:4 issues:4 ce:4 linux:4 personality:4 console:4 hbs:4 contain:3 issue:3 builds:3 job:3 main:3 overall:2 vote:2 comment:2 mode:2 activated:2 tags:2 passed:2 branch:2 generate:2 license:2 warnings:2 report:2 notes:2 server:2 image:2 url:2 secure:2 attachment:2 optional:2 generic:2 utc:2 gnu:2 tool:2 provided:2 git:2 revision:2 version:2 max:2 process:2 thread:2 count:2 vs:2 modules:2 c:2 u:2 output:2 powered:2 snapshot:2 http:2 message:2 automatically:2 generated:2 thanks:2 commit:2 edit:2 upload:1 initial:1 20s:1 21s:1 mon:1 feb:1 root:1 cause:1 specify:1 update:1 shows:1 looks:1 like:1 latest:1 16s:1 9s:1 24s:1 jan:1 help:1 review:1 committing:1 shortly:1 chen:1 success:1 integrated:1 see:1 individual:1 page:1 breadcrumb:1 trail:1 rev:1 add:1 info:1 nm:1,2018-04-19T21:49:31.000+0000,2018-05-01T08:32:36.000+0000,180419,180501,48,1,,3.1.1 3.2.0,9,2018-04-22T17:25:45.606+0000,2018-05-01T08:55:04.847+0000,0,3,2018-04-22T17:25:55.822+0000,2018-04-24T22:55:20.568+0000,2,2018-04-22T17:25:55.822+0000,2018-04-24T22:28:48.826+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,8188,Major,Resolved,cheersyang,cheersyang,resourcemanager webapp,nodes:1 data:1 table:1 index:1 sorting:1 column:1 need:1 corrected:1 post:1 application:1 tags:1 display:1,js:6 min:4 yarn:3 allocation:2 tags:2 column:2 click:1 got:1 following:1 exception:1 read:1 property:1 null:1 object:1 title:1 numeric:1 array:1 sort:1 native:1 f:1 caused:1 adds:1 new:1 index:1 needs:1 updated:1 well:1,color:186 green:72 yarn:31 patch:20 server:14 passed:13 trunk:12 apache:11 red:9 tests:8 https:6 build:6 compile:5 java:5 builds:5 job:5 column:4 index:4 blue:4 brown:4 unit:4 black:4 project:4 commit:4 nodes:3 table:3 need:3 console:3 0s:3 please:3 client:3 maven:3 thanks:3 mem:2 subsystem:2 28s:2 docker:2 author:2 new:2 errors:2 building:2 testing:2 artifacts:2 issues:2 failed:2 ce:2 linux:2 personality:2 success:2 integrated:2 see:2 data:2 sorting:2 rev:2 edit:2 main:2 page:1 used:1 available:1 moved:1 added:1 another:1 update:1 accordingly:1 verified:1 cluster:1 exception:1 chrome:1 gone:1 applied:1 x:1 overall:1 vote:1 comment:1 mode:1 activated:1 contain:1 tags:1 appear:1 include:1 modified:1 justify:1 needed:1 also:1 list:1 manual:1 steps:1 performed:1 verify:1 branch:1 3s:1 24s:1 40s:1 25s:1 10s:1 21s:1 19s:1 generate:1 license:1 warnings:1 reason:1 scheduler:1 capacity:1 report:1 notes:1 image:1 issue:1 url:1 secure:1 attachment:1 optional:1 generic:1 mon:1 feb:1 utc:1 gnu:1 tool:1 provided:1 git:1 revision:1 version:1 default:1 artifact:1 test:1 results:1 max:1 process:1 thread:1 count:1 vs:1 modules:1 c:1 u:1 output:1 powered:1 snapshot:1 http:1 message:1 automatically:1 generated:1 hi:1 help:1 review:1 one:1,2018-04-20T03:13:16.000+0000,2018-04-25T09:28:16.000+0000,180420,180425,5,1,3.1.0,3.1.1 3.2.0,7,2018-04-20T03:20:33.244+0000,2018-04-26T21:58:05.619+0000,0,1,2018-04-20T03:16:18.806+0000,2018-04-20T03:16:18.806+0000,1,2018-04-20T03:16:18.806+0000,2018-04-20T03:16:18.806+0000,Regression:7779,
YARN,ASF,Apache Hadoop Committee,big-data,8189,Major,Resolved,sunilg,sunilg,,nodes:1 page:1 column:1 headers:1 half:1 truncated:1,increase:1 column:1 width:1 node:1 page:1,color:148 green:50 yarn:23 patch:15 apache:11 trunk:9 blue:8 brown:8 tests:8 black:8 client:6 maven:6 https:5 build:5 project:5 subsystem:4 docker:4 author:4 compile:4 errors:4 building:4 testing:4 artifacts:4 issues:4 ce:4 linux:4 personality:4 console:4 0s:3 branch:3 builds:3 job:3 commit:3 review:2 overall:2 vote:2 comment:2 mode:2 activated:2 contain:2 tags:2 passed:2 generate:2 license:2 warnings:2 report:2 notes:2 server:2 image:2 issue:2 url:2 secure:2 attachment:2 optional:2 generic:2 jan:2 utc:2 gnu:2 tool:2 provided:2 git:2 revision:2 version:2 max:2 process:2 thread:2 count:2 vs:2 modules:2 c:2 u:2 output:2 powered:2 snapshot:2 http:2 message:2 automatically:2 generated:2 nodes:2 thanks:2 cc:1 help:1 22s:1 7s:1 19s:1 1s:1 28s:1 tested:1 cluster:1 committing:1 shortly:1 failure:1 integrated:1 see:1 page:1 column:1 headers:1 half:1 truncated:1 rev:1 edit:1 main:1 controllers:1 table:1 js:1 committed:1,2018-04-20T06:32:13.000+0000,2018-04-20T14:15:24.000+0000,180420,180420,0,1,3.1.0,3.1.1 3.2.0,7,2018-04-20T06:33:36.654+0000,2018-04-20T14:21:40.890+0000,0,3,2018-04-20T06:33:04.638+0000,2018-04-20T09:05:51.836+0000,2,2018-04-20T06:33:04.638+0000,2018-04-20T09:05:51.836+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,8196,Trivial,Resolved,dvergari,billie.rinaldi,documentation,yarn:1 service:1 enable:1 highlighted:1,yarn:4 service:2 section:2 let:1 resource:1 manager:1 run:1 long:1 running:1 applications:1 must:1 set:1 property:1 enable:1 true:1 described:1 http:1 apache:1 docs:1 site:1 html:1 way:1 documentation:1 indicated:1 rest:1 think:1 useful:1 add:1 configuration:1 also:1 first:1 quick:1 start:1 guide:1,color:90 green:33 yarn:21 patch:8 trunk:8 apache:7 site:6 blue:4 brown:4 tests:4 black:4 https:4 build:4 project:4 commit:4 service:4 passed:3 client:3 maven:3 builds:3 job:3 subsystem:2 docker:2 author:2 0s:2 compile:2 errors:2 building:2 testing:2 artifacts:2 issues:2 ce:2 linux:2 personality:2 console:2 success:2 integrated:2 see:2 updated:2 documentation:2 enabling:2 rest:2 rev:2 edit:2 md:2 looks:1 good:1 overall:1 vote:1 comment:1 17s:1 mode:1 activated:1 contain:1 tags:1 7s:1 19s:1 branch:1 15s:1 21s:1 generate:1 license:1 warnings:1 report:1 notes:1 server:1 image:1 issue:1 url:1 secure:1 attachment:1 optional:1 generic:1 wed:1 oct:1 utc:1 gnu:1 tool:1 provided:1 git:1 revision:1 version:1 max:1 process:1 thread:1 count:1 vs:1 modules:1 c:1 u:1 output:1 powered:1 snapshot:1 http:1 message:1 automatically:1 generated:1 committed:1 thank:1,2018-04-22T10:50:13.000+0000,2018-04-24T23:13:57.000+0000,180422,180424,2,1,3.1.0,3.1.1 3.2.0,5,2018-04-24T20:36:45.571+0000,2018-04-26T21:57:59.035+0000,0,1,2018-04-24T18:56:40.354+0000,2018-04-24T18:56:40.354+0000,1,2018-04-24T18:56:40.354+0000,2018-04-24T18:56:40.354+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,8197,Critical,Resolved,ssathish@hortonworks.com,sunilg,yarn,tracking:1 url:1 state:1 get:1 redirected:1 mr:1 running:1 applications:1,,color:768 green:318 yarn:91 patch:80 passed:54 server:41 trunk:35 apache:30 proxy:24 web:22 compile:20 tests:18 https:17 blue:16 brown:16 black:16 build:16 test:14 project:14 job:13 0s:12 client:12 maven:12 builds:12 secure:11 new:11 red:10 testing:9 issues:9 unit:9 also:8 subsystem:8 docker:8 author:8 errors:8 building:8 artifacts:8 ce:8 linux:8 personality:8 java:8 console:8 orange:8 thanks:7 25s:7 git:7 branch:6 http:6 20s:6 message:6 generated:6 cluster:5 fixed:5 comment:5 generate:5 warnings:5 issue:5 results:5 18s:5 directly:4 see:4 overall:4 vote:4 mode:4 activated:4 contain:4 tags:4 include:4 modified:4 24s:4 license:4 report:4 notes:4 image:4 url:4 attachment:4 optional:4 generic:4 jan:4 utc:4 gnu:4 tool:4 provided:4 revision:4 version:4 default:4 max:4 process:4 thread:4 count:4 vs:4 modules:4 c:4 u:4 output:4 powered:4 snapshot:4 automatically:4 right:3 redirect:3 using:3 please:3 21s:3 17s:3 even:3 change:3 appears:3 files:3 26s:3 fix:3 ill:3 formed:3 file:3 artifact:3 commit:3 ha:2 tries:2 first:2 coming:2 returns:2 scenario:2 cc:2 x:2 verify:2 14s:2 1s:2 22s:2 10s:2 turned:2 maybe:2 okay:2 exactly:2 checking:2 thing:2 quote:2 16s:2 19s:2 12s:2 unchanged:2 total:2 apply:2 2s:2 request:2 error:2 link:2 get:2 need:2 correct:2 able:2 fail:2 good:2 set:2 well:2 updating:2 29s:2 fixing:2 add:2 edit:2 debugged:1 happening:1 authentication:1 somebody:1 reach:1 checks:1 direct:1 clusters:1 embedded:1 figures:1 making:1 explicit:1 connection:1 redirecting:1 always:1 return:1 ams:1 contexts:1 think:1 solution:1 relax:1 accept:1 works:1 turns:1 exact:1 situation:1 supposed:1 exists:1 another:1 touched:1 area:1 exception:1 trace:1 updated:1 understanding:1 appear:1 justify:1 needed:1 list:1 manual:1 steps:1 performed:1 3s:1 11s:1 probably:1 tried:1 security:1 run:1 one:1 question:1 enough:1 check:1 though:1 guess:1 opposite:1 elsewhere:1 yeah:1 best:1 possible:1 cover:1 functionality:1 23s:1 27s:1 line:1 end:1 use:1 refer:1 docs:1 tested:1 getting:1 reply:1 fine:1 debug:1 information:1 working:1 added:1 class:1 done:1 starting:1 valid:1 normal:1 token:1 look:1 combined:1 expected:1 commented:1 lines:1 make:1 better:1 invoke:1 show:1 case:1 common:1 e:1 g:1 unnecessarily:1 repeated:1 log:1 warn:1 let:1 canceling:1 latest:1 addressing:1 comments:1 15s:1 40s:1 somehow:1 missed:1 couple:1 imports:1 next:1 wait:1 review:1 looks:1 import:1 pending:1 13s:1 committed:1 success:1 integrated:1 ip:1 filter:1 rev:1 resources:1 pom:1 main:1,2018-04-23T01:36:57.000+0000,2018-06-01T00:17:15.000+0000,180423,180601,82,1,,3.1.1 3.2.0,20,2018-05-25T04:38:40.019+0000,2018-06-01T00:26:59.397+0000,0,4,2018-05-25T14:34:45.649+0000,2018-05-31T19:52:29.654+0000,4,2018-05-25T14:34:45.649+0000,2018-05-31T19:52:29.654+0000,,"Reference:7269
Reference:6625"
YARN,ASF,Apache Hadoop Committee,big-data,8202,Blocker,Resolved,snemeth,snemeth,,properly:1 check:1 units:1 requested:1 custom:1 resource:1 types:1 minimum:1 maximum:1 allocation:1,job:6 node:4 arguments:2 one:2 execute:1 pi:1 get:1 following:1 exception:1 every:1 second:1 hangs:1 apache:1 yarn:1 server:1 scheduler:1 take:1 resource:1 units:1 account:1 however:1 start:1 still:1 runs:1 successfully:1 also:1 tried:1 third:1 run:1 request:1 nodes:1 amount:1 restart:1 ultimately:1 completes:1 enough:1 resources:1 registered:1 desired:1 behaviour:1,color:2590 green:908 yarn:344 patch:261 passed:172 blue:132 red:123 apache:114 server:98 unit:92 trunk:91 https:80 client:77 build:73 builds:62 job:62 project:62 compile:59 tests:57 maven:55 common:50 brown:44 orange:44 black:44 artifact:39 0s:35 git:32 test:29 java:27 root:26 generated:26 new:25 branch:23 failed:23 subsystem:22 docker:22 author:22 dependency:22 ordering:22 errors:22 building:22 testing:22 artifacts:22 ce:22 linux:22 personality:22 console:22 issues:16 fixed:15 apply:14 license:12 issue:12 message:12 overall:11 vote:11 comment:11 mode:11 activated:11 contain:11 tags:11 appears:11 include:11 modified:11 files:11 unchanged:11 total:11 warnings:11 report:11 notes:11 image:11 url:11 secure:11 attachment:11 optional:11 generic:11 utc:11 gnu:11 tool:11 provided:11 revision:11 version:11 default:11 results:11 max:11 process:11 thread:11 count:11 vs:11 modules:11 c:11 u:11 output:11 powered:11 snapshot:11 http:11 automatically:11 17s:10 resource:9 use:9 16s:9 check:8 line:8 20s:8 19s:8 thanks:8 x:7 24s:7 end:7 fix:7 refer:7 docs:7 27s:7 generate:7 26s:7 21s:7 10s:7 5s:6 6s:6 reason:6 caps:6 edit:6 25s:5 15s:5 30s:5 mon:5 14s:5 8s:5 13s:5 22s:5 feb:5 comments:5 good:5 29s:4 28s:4 23s:4 12s:4 problems:4 jan:4 3s:4 pattern:4 2s:3 class:3 please:3 18s:3 strings:3 main:3 custom:2 units:2 9s:2 40s:2 7s:2 called:2 also:2 11s:2 1s:2 failure:2 unrelated:2 4s:2 50s:2 review:2 one:2 method:2 updated:2 think:2 make:2 final:2 constants:2 null:2 statement:2 unknown:2 first:2 static:2 debug:2 logging:2 hi:2 removed:2 changed:2 point:2 constant:2 typo:2 commit:2 scheduler:2 add:2 missing:1 types:1 allocation:1 happens:1 take:1 account:1 reservation:1 wed:1 oct:1 couple:1 may:1 reusable:1 checked:1 single:1 twice:1 however:1 using:1 agree:1 usable:1 way:1 catch:1 affected:1 methods:1 contains:1 ending:1 fixes:1 ready:1 remaining:1 longer:1 characters:1 though:1 non:1 binding:1 necessary:1 directly:1 need:1 variables:1 lists:1 usually:1 real:1 e:1 g:1 unnecessarily:1 checks:1 known:1 repeated:1 second:1 original:1 code:1 suffered:1 going:1 throw:1 saying:1 remove:1 variable:1 call:1 log:1 avoid:1 string:1 concatenation:1 turned:1 absolutely:1 unnecessary:1 originally:1 used:1 creating:1 resources:1 like:1 parsed:1 amount:1 became:1 unused:1 know:1 finals:1 back:1 additional:1 misleading:1 extracted:1 added:1 calls:1 two:1 trivial:1 things:1 go:1 named:1 changing:1 indeed:1 committed:1 success:1 integrated:1 see:1 properly:1 requested:1 rev:1,2018-04-24T15:52:00.000+0000,2018-05-10T16:52:05.000+0000,180424,180510,44,1,,3.1.1,24,2018-04-24T15:58:04.195+0000,2018-05-10T16:54:56.448+0000,0,10,2018-04-25T15:28:37.389+0000,2018-05-10T05:01:53.018+0000,10,2018-04-25T15:28:37.389+0000,2018-05-10T05:01:53.018+0000,Reference:7739,
YARN,ASF,Apache Hadoop Committee,big-data,8205,Critical,Resolved,ssathish@hortonworks.com,rohithsharma,,application:1 state:1 updated:1 ats:1 launching:1 delayed:1,momentarily:1 issue:1 accepted:1 running:1 duration:1 launching:1 delayed:1 state:1 updated:1 ats:1,color:372 green:153 yarn:53 patch:39 passed:27 server:27 trunk:19 apache:18 tests:12 compile:10 java:10 red:9 blue:8 brown:8 black:8 https:8 build:8 project:8 0s:6 client:6 unit:6 metrics:6 maven:6 builds:6 job:6 test:6 subsystem:4 docker:4 author:4 22s:4 branch:4 errors:4 building:4 testing:4 artifacts:4 issues:4 ce:4 linux:4 personality:4 console:4 edit:4 new:3 please:3 report:3 26s:3 overall:2 vote:2 comment:2 mode:2 activated:2 contain:2 tags:2 include:2 modified:2 failed:2 generate:2 license:2 warnings:2 23s:2 notes:2 image:2 issue:2 url:2 secure:2 attachment:2 optional:2 generic:2 utc:2 gnu:2 tool:2 provided:2 git:2 revision:2 version:2 default:2 results:2 max:2 process:2 thread:2 count:2 vs:2 modules:2 c:2 u:2 output:2 powered:2 snapshot:2 http:2 message:2 automatically:2 generated:2 related:2 updated:2 8s:2 thanks:2 commit:2 main:2 x:1 appear:1 justify:1 needed:1 also:1 list:1 manual:1 steps:1 performed:1 verify:1 11s:1 28s:1 30s:1 19s:1 25s:1 reason:1 jan:1 artifact:1 take:1 look:1 looks:1 fine:1 case:1 failures:1 yes:1 need:1 wait:1 till:1 appears:1 files:1 24s:1 27s:1 1s:1 mon:1 committed:1 success:1 integrated:1 see:1 application:1 state:1 ats:1 launching:1 rev:1 cherry:1 picked:1 well:1 reviewing:1 committing:1,2018-04-24T23:09:49.000+0000,2018-04-27T04:58:24.000+0000,180424,180427,3,1,,3.0.3 3.1.1 3.2.0 2.10.0,8,2018-04-26T12:26:13.784+0000,2018-04-27T06:02:39.753+0000,0,2,2018-04-26T10:19:42.894+0000,2018-04-26T12:55:31.302+0000,2,2018-04-26T10:19:42.894+0000,2018-04-26T12:55:31.302+0000,,
